50,421,468,391,394
22,360,400,193,454,82,1,88
93,469,381,406
24,60,456,48,458
46,374,351,43,18
200,424,319,449,251,396,180
249,201,133,293,177,78
362,28,216,26,76,478,93
399,185,213,437,343,457,20,110,357
132,482,364,224,148,418,318,440
331,129,426,442,28,425
467,240,6
487,199,51
432,74,314,234,119,313
103,185,371,161,176,116
306,338,104,80,92,410,428
39,433,292,494,189,482,170,230
203,344,202,167,225,172
431,397,233,402,457,23,343,87,109
154,23,16,9,237,1
93
120,2,260,26
320,20,140,389,202,93,343,109
4,202,476,346,176,150
464,209,415,305,279,466,391,115
162,108,188,160,81,430
337,373,413,343,163,437,385,241,477,397,244
8,150,70
468,70
142,488,174,365,461,128,138,473,102,255,234
251,113,375,285,29
440,394,232,108,360
40,368,413,377,408,275
472,231,80,54,5,328,81
38,40,408,98,299
419,336,34,188
287,63,402,249,251
35,400,321,67,186
293,479,269,17,163,223
432,148,156,402,33,365,279,366
113,409,451,125,371,181,390
126,203,446,347,429,172
423,413,213,134,371,269,360
154,442,196,41,203,292,379
131,99,371,460,477,437,31,265,484
5,171,370,228,325,264,288,96
301,429,481,248,144,255,157,340
237,146,420,454
133,161,333,45,437,51,87,335
131,28,480,136,86,1,497,118
491,497,49,467,453
207,235,28
215,350,427,297
62,68,154,389,343,80,288,251,299
155,248,244,128,8
98,142,237,134,189
230,52,307
410,154,308,384,88,167
117,137,223
398,4,106,126,274,235
462,247,191
164,54,301,192,492,290,145,475
166,37,329,19,349,497
76,219,430
482,262,335,477,376
192,277,155,190
156,130,38,404,315
270,60,41,54,174,169,18,253,433,111
109,317,478
170,245,52,28,29
185,191,233,94,29,210
124,34,30,194,482,96
367,103,455,277,161,401,318
94,166,390,438,391,313,223
299,357,331,421,341,255,313,169
82,64,22,331,211,26
199,310,453,83
456,206,291
358,417,310,123,292,72,6,460
142,34,16
183,217,391,431,26,495,315
76,2,321,246,421,180
193,478,243,195,121,465
156,396,219,154,500
289,155,421,208
446,126,50,241,353,433,194
49,247
58,302,330,98,335
210,57,327,242,83
482,116,132,462,124,416
432,166,466,327,179,83
186,102,16,177,452
195,315,290,283,145,19,8
74,40,466,431,170,147
228,446,470,147,349,280,313
170,327,304,266,83
134,104,289,143,213,391
266,394,56,126,500,228,202,172,65
137,357,480,45,397,183
456,467,417,62,141,43,80,498,108
389,421,217
92,437,264,273,418,35
15,73,399,409,471
302,58,97,124,173,462,469,447
359,395,213,301,403,135,498
316,270,493,257,77,394
239,431,37,475,375,251,108,160
158,216,26,180,202,107
69,494,31
293,45,242
345,5,197,131,172
180,150
311,41,455,270,256,425,222
316,319,275,198,253,498
436,454,496,468
370,298,384,90,55,461,3,397,205
363,5,403,281,461,59,475,452
188,322
360,139,321,333,495,500,437,474,441
22,400,416
331,325,57
210,294
356,499,436
72,104,468
271,367,41,45,384
42,257,421,246,131,237
239,391,401,137,340,82
258,30,402,65,392
451,134,151,11,161
67,257,431,500,117
357,45,50,133,169,491,307
10,90,472,443,156
399,369,49,442,131,256,148,139
442,97,343,437,129,288,18,140
229,161,299
256,158,292,50,182,167
99,299,487,145,54,253
169,198,252,62,322,498
497,119,405,181,453
167,10,402,385,151,76
181,154,418,437,265,331,45,317,468,433,256
80,30,56,32,392
443,374,413,388,334
200,190,47,261,191
317,357,267,473,93,457,334,229,81
192,174,48,314,92,315,490
500,394,426,136,352,17,239,318
40,14,287,140,129,313,234
365,272,354,347,389,435,482,369
405,28
277,140,466
422,396,431,279,286,478
232,451,175,271,181
424,20,44,314,413,141,62,336,101,475,84,217
55,85,102,161,425,242
422,67,466,84,23
490,436,475,247
136,108,342,347,344,376
283,469,447,419,317,223,92
172,200,446,309,71,69
413,49,475,460,148,328
26,86,307,82
429,171,355,268,373,63
62,339,151,449,486
223,381,116
74,91,63
272,364,140,365,116,18,353
384,88,320,378,403,260,82
138,417,259,479
96,70,63,50
163,46,218,283,200,427
160,190,191,203,214,111,243,284
55,370,104,197,434
418,146,68,30,413,275,110,200
409,277,311,153,371
66,36,257,226,92,190,466
305,355,293,371,101,36
358,252,68,169,292,416,22
474,433,408,91,230
112,362,208,397
153,141,25,19,225,31
112,426,237,227,484
81,99,317,349,430
244,268,5,345,414,204
359,9,15,201,133,129,445,31
92,378,385,38
219,143,54,387,253,217
118,391,400,36,309
439,145,228,366,35
144,415,176
253,222,151,139,200
146,66,464,62,149,318,69
321,304,368,272
72,350,474
93,300,245,295
472,420,44,88,95,289
215,111,173
344,138,369,266,492,404,247
77,253,13,45,139
144,160,6,325,174,222,115
185,7,383,377,301,226,332
24,492,364,18,322
18,42,220,420,292,192,94,162
98,460,342,475,372
389,40,293,37,410,251,478,242
398,78,275,174,77,48
250,52,89,157
350,180,494,322,440,345,2
252,451,270,181,151,479,253,489
284,89,465,463,69,307
457,315,357,459,302,396,76
252,232,451,467,25
9,43,305,355,461,211
234,309,379,172,439
197,53,305,112
236,108,480,391,453,237
321,317,431,224,112
290,238,117,433,347,315,402,255
187,233,84,391,383,64
274,203,490,285
366,426
300,312,191,294,163
165,159
378,104,92,258,416,82
231,18,362,213,497,52,21
246,347,7,386,235,478
429,213,385,372
248,424,46,272,423,95,460,477
135,471,145,403,217
57,465,333
306,308,34,419,112
153,212,291,361,42,148,425
19,219,40,276,211,408,335
214,449,366,272,392,256,235
475,447,239,405,52,226
322,216,342,221
48,56,126,76,423,157
218,330,373,59,278,427,324
107,312,443,153,313,494,223
274,408,131,117,76,194
455,301,268,86,169,11,253,313,166
324,381,261,89
331,480,83
264,302,372,184,259,55
481,70,353,112,239,459
446,296,226,457,162
87,157,296,61
